data_aplicaçao,tipo,total
2021-05-22,data,510
2021-05-22,complete,510
2021-05-21,data,875
2021-05-21,complete,875
2021-05-20,data,2119
2021-05-20,complete,2119
2021-05-19,data,2532
2021-05-19,complete,2532
2021-05-18,missing_demography,2
2021-05-18,complete,2773
2021-05-17,missing_demography,10
2021-05-17,data,2657
2021-05-17,complete,2657
2021-05-16,data,435
2021-05-16,complete,435
2021-05-15,data,1363
2021-05-15,complete,1363
2021-05-14,data,3598
2021-05-14,complete,3598
2021-05-13,missing_demography,4
2021-05-13,data,3689
2021-05-13,complete,3689
